question,participant_id,control,s_mo,d_mo,w_mo,s_mls,d_mls,w_mls
unfriendly-friendly,71,3,3,3,3,3,3,3
dangerous-safe,71,4,3,5,5,4,5,3
ignored-seen,71,1,4,5,5,4,5,4
invasive-respectful,135,3,3,4,2,4,5,2
unfriendly-friendly,135,3,3,3,3,4,4,4
dangerous-safe,135,4,4,5,4,5,5,5
ignored-seen,135,3,2,4,5,5,5,5
invasive-respectful,66,3,3,5,4,5,5,5
unfriendly-friendly,66,3,3,4,4,5,5,5
dangerous-safe,66,5,5,5,5,5,5,5
ignored-seen,66,1,4,5,5,5,5,5
invasive-respectful,45,3,4,5,4,4,5,4
unfriendly-friendly,45,2,3,5,3,4,5,4
dangerous-safe,45,3,4,4,3,4,4,3
ignored-seen,45,1,4,5,4,5,5,5
invasive-respectful,94,3,4,5,2,5,5,4
unfriendly-friendly,94,3,3,4,1,4,4,4
dangerous-safe,94,4,4,5,1,4,5,4
ignored-seen,94,1,4,5,5,5,5,5
invasive-respectful,23,5,5,5,5,5,5,5
unfriendly-friendly,23,3,3,4,5,4,2,3
dangerous-safe,23,5,5,5,5,5,5,5
ignored-seen,23,3,4,5,5,4,4,4
invasive-respectful,14,4,4,3,4,5,4,5
unfriendly-friendly,14,3,4,2,5,5,4,5
dangerous-safe,14,5,5,2,5,5,2,5
ignored-seen,14,2,3,4,4,5,4,5
invasive-respectful,88,2,3,4,5,4,5,5
unfriendly-friendly,88,3,3,4,4,4,5,4
dangerous-safe,88,4,4,4,5,5,5,5
ignored-seen,88,4,4,4,5,5,5,4
invasive-respectful,73,4,5,5,5,5,5,5
unfriendly-friendly,73,4,5,5,5,5,5,5
dangerous-safe,73,4,5,5,5,5,5,5
ignored-seen,73,4,5,5,5,5,5,5
invasive-respectful,68,3,2,5,5,5,4,5
unfriendly-friendly,68,2,3,4,5,4,4,5
dangerous-safe,68,5,5,5,5,5,4,5
ignored-seen,68,2,3,5,5,5,5,5
invasive-respectful,31,3,2,5,3,4,4,3
unfriendly-friendly,31,4,3,4,3,4,3,3
dangerous-safe,31,5,3,4,3,5,5,2
ignored-seen,31,2,2,5,4,4,4,5
invasive-respectful,98,5,4,4,3,4,3,3
unfriendly-friendly,98,3,5,4,4,4,4,4
dangerous-safe,98,4,4,4,3,4,4,4
ignored-seen,98,2,2,4,4,5,5,5
invasive-respectful,155,3,4,5,3,4,5,4
unfriendly-friendly,155,3,3,4,4,4,5,4
dangerous-safe,155,4,4,5,4,5,5,4
ignored-seen,155,3,4,5,4,5,5,5
invasive-respectful,111,3,3,4,5,4,4,5
unfriendly-friendly,111,3,3,4,4,4,2,5
dangerous-safe,111,3,3,4,4,5,5,5
ignored-seen,111,3,3,4,5,5,5,5
invasive-respectful,102,2,2,3,2,3,3,4
unfriendly-friendly,102,3,3,2,1,4,4,4
dangerous-safe,102,3,4,3,3,3,3,3
ignored-seen,102,2,4,1,5,4,2,5
invasive-respectful,163,2,4,3,1,3,4,2
unfriendly-friendly,163,3,3,3,2,4,4,2
dangerous-safe,163,4,4,3,2,4,5,2
ignored-seen,163,3,4,4,5,4,5,5
invasive-respectful,52,4,4,5,2,5,5,2
unfriendly-friendly,52,3,3,4,3,4,4,3
dangerous-safe,52,4,4,4,2,5,5,2
ignored-seen,52,4,4,4,4,4,5,4
invasive-respectful,92,2,3,5,5,5,5,4
unfriendly-friendly,92,2,3,5,5,4,5,4
dangerous-safe,92,2,3,5,4,5,4,4
ignored-seen,92,5,5,5,5,5,5,5
invasive-respectful,6,2,4,5,1,4,4,4
unfriendly-friendly,6,5,4,4,2,3,4,4
dangerous-safe,6,3,4,4,3,3,5,4
ignored-seen,6,2,4,5,5,4,5,5
